Group,x,y,t,s
P,29.44955031,41.17368704,1,0
N,29.18285735,-356.2798715,0,1
M,19.91453158,-440.7166512,0,1
O,-5.722815532,173.8267739,0,0
O,-15.77750301,217.9103441,0,1
N,29.30318708,-231.496413,0,0
P,23.59532715,-163.0918021,1,1
M,30.09674253,-490.176315,0,1
P,2.208390721,-208.7374992,1,0
O,-18.34227245,-125.3899897,0,1
O,-16.73473681,-5.292056914,0,1
O,-16.66536935,128.749581,0,0
N,41.77679346,-218.0314665,1,1
M,-9.530665447,-153.9883524,0,1
P,17.93784094,-183.7657581,1,1
O,8.152313769,75.91237803,0,0
O,4.183588999,322.9601047,0,0
M,7.176311902,-344.1715921,0,0
M,18.96159086,-445.9235079,0,0
O,2.34944227,228.3049151,0,0
O,10.66271111,159.5679153,0,1
M,14.95180708,-228.7009955,0,0
P,21.11355778,-137.3745718,1,1
O,-21.95691838,409.22542,0,0
M,25.93533544,-295.063008,0,0
M,26.860746,-345.0573626,0,0
M,29.23198182,-443.6355361,0,1
M,21.38523336,-83.77474091,0,1
O,10.80887645,184.8419694,0,0
O,-4.728118198,487.2111947,0,1
N,9.495228442,-390.568042,0,0
M,-0.683042536,-168.403115,0,0
O,-5.799930939,129.9797257,0,1
P,17.24205864,92.58709053,1,1
P,-4.505619678,-176.8318439,1,0
N,16.61433719,-456.7208609,0,0
M,7.902505325,-142.3756357,0,0
P,28.70444461,130.9709829,1,0
O,-13.48053245,324.4838492,0,1
M,6.30715661,-13.09381641,0,0
P,-8.178999737,97.16521131,1,1
O,4.533230875,263.4461507,0,0
M,38.61870197,-372.4018998,0,0
N,13.49546133,-260.9768135,0,0
P,47.81772576,-219.2434451,1,1
P,16.20767845,-136.9989523,0,0
P,7.517155059,51.24129627,1,1
P,-2.216220534,-201.364649,1,1
N,-3.468897369,-223.3399902,0,1
P,12.77826303,-131.8784205,1,0
M,15.17550506,-36.44937356,0,1
M,19.31306516,-123.6834786,0,1
M,3.959355691,-31.97814986,0,0
M,29.72894777,-157.4509337,0,1
M,17.57962002,-397.8113345,0,0
O,-17.44644621,229.8004929,0,0
N,19.93478307,-352.5479375,0,1
P,-12.80773016,-0.235971252,1,0
O,4.244757727,123.1427076,0,0
P,12.97916816,31.90100946,1,0
M,24.79659509,-168.4997065,0,1
O,-14.69035791,207.8159831,0,0
N,20.61739256,-196.6004611,0,1
N,-4.281295288,-510.981466,1,1
N,22.91152938,-150.3991194,0,1
P,50.31247175,42.90651895,1,0
N,20.29359335,-293.641708,0,1
O,-16.95619601,-30.9873882,0,1
M,5.668145296,-311.3800181,0,0
O,-20.06170249,3.296148261,0,0
M,20.35465479,-292.0662509,0,1
P,-6.642063345,-151.4337719,1,1
P,22.15957683,-96.79858708,1,1
N,-8.090387931,-236.6999757,0,0
M,25.51371311,-269.2961707,0,0
P,3.104173575,102.7412805,1,0
P,5.908124398,-72.90066312,1,0
N,20.98812717,-270.8218722,1,0
P,32.7233625,-185.1281055,1,1
M,14.87098528,-124.865521,0,0
P,36.58189335,-116.1981021,1,0
N,9.74361113,-272.8074391,0,0
P,15.3592577,152.5600849,1,1
O,-20.09198984,2.476362522,0,1
P,15.61951554,63.02356755,0,1
M,9.401982848,-277.4412401,0,1
M,22.93253734,-242.2458285,0,0
N,46.58294254,-503.6430833,0,0
M,14.35143751,10.3658692,0,0
M,8.089674865,-482.9037174,0,0
P,16.49790231,9.829362368,0,0
N,4.253984183,-333.6020578,0,0
M,10.47282127,6.225053539,0,0
N,-0.39179066,-79.99318698,0,0
P,-7.212207479,-130.8921528,0,1
O,-24.13759298,35.35634762,0,1
P,-17.21987965,-245.8394372,1,1
P,35.31576092,-215.7077878,1,1
O,4.597726786,179.8773947,0,0
M,22.50231805,-360.1870761,0,0
O,2.390003254,125.4706266,0,0
P,36.39106824,-163.1644089,1,1
M,24.2576059,-182.6404056,0,0
P,45.35899325,-86.72097202,0,1
O,-15.80819473,258.5034111,0,0
O,-1.988029971,277.3609399,0,0
O,-0.14754913,454.0340551,0,1
P,48.78742787,-70.77346483,1,0
M,16.43974655,-180.874207,0,1
O,-27.77471212,207.231997,0,0
N,5.52247426,-62.3979028,0,1
O,-18.90073243,315.3020678,0,1
P,15.9937684,100.5851173,1,1
N,27.42441256,-529.3013965,0,0
P,39.34624343,-116.4569661,1,1
O,-27.37034478,202.5730909,0,0
N,29.03736075,-303.5537218,0,0
N,22.99212036,-259.413619,0,0
N,23.14309377,-615.8839275,0,0
N,56.20251944,-653.3760543,0,0
M,23.59559969,-322.1635669,0,0
M,1.271740772,-219.080062,0,0
O,-20.24810204,481.5004274,0,0
O,-6.51008892,239.9426452,0,0
P,32.92234421,238.0396747,1,1
M,37.09193844,-64.57212043,0,1
P,-26.83156259,42.23830567,0,0
P,-18.48089021,177.4695215,1,0
N,38.22338946,-595.0078495,0,0
O,-4.233085918,217.8017636,0,0
N,10.74061599,-106.299147,0,1
P,-9.439755185,-56.67789381,1,1
M,13.62371141,-143.3052932,0,1
P,-20.23533243,-344.0145766,0,0
P,40.41108542,374.8260275,0,1
O,-0.950663791,428.1795489,0,0
N,20.45461149,-383.9102565,0,0
P,46.52262589,-32.13952274,1,0
P,47.92923957,-91.73841942,1,1
O,0.92212226,68.34926632,0,0
O,-9.616709598,95.76108108,0,1
N,17.36407261,-132.5431261,1,1
O,-16.1723093,91.0045923,0,0
P,42.4347086,-197.6520121,1,0
P,49.67063332,-51.36417903,1,1
P,29.73618173,-87.30895631,1,0
P,4.942699187,212.3192929,0,1
P,42.28262487,-90.43556342,0,0
O,-32.35339202,-31.71200409,0,1
N,38.28955674,-411.0766123,0,1
P,45.253957,177.9858749,0,0
O,3.282677811,423.719341,0,0
O,11.34030288,572.0703508,0,1
M,1.952131162,-210.5202107,0,0
N,49.91342606,-530.1380372,0,0
O,-11.45631865,-114.9719097,0,0
P,31.15825703,-285.9793094,1,0
N,-16.69781482,-110.7432168,0,0
N,26.46817883,-516.542651,0,1
M,16.22015498,-171.2232306,0,1
M,17.11401016,-100.7932002,0,1
N,12.15135835,-364.5081211,0,1
M,17.14241269,-313.2859288,0,0
M,11.26148094,-274.3207299,0,1
M,5.511954258,-393.4973303,0,1
M,4.530428361,-158.1130871,0,0
N,30.64731503,-465.7735497,0,0
N,4.090630464,-348.4064982,0,0
O,-7.564976377,156.8115309,0,1
N,17.63395599,-324.2925283,0,1
P,-2.117518637,-150.9008147,1,1
O,-21.06108668,-208.6908361,0,0
N,13.71056631,-291.127503,0,1
O,7.607774197,312.9534166,0,0
N,36.78244154,-460.8087046,0,0
M,13.18839445,-3.147185659,0,1
N,42.16780358,-584.120063,1,1
O,6.117885214,709.9279665,0,0
O,-18.26411992,287.40885,0,1
M,27.28827993,-405.6057745,0,1
M,32.71103888,-217.9472236,0,0
P,26.95226384,-271.2837663,1,1
M,25.42666683,-358.1225578,0,0
N,34.51518796,-131.7061299,0,1
P,-23.76039268,183.4115887,1,1
O,0.084846046,137.3538223,0,0
O,7.988302833,371.213143,0,0
N,22.02530079,-585.5005351,0,0
P,-20.60452972,-34.32130811,1,1
N,28.39138533,-88.01558866,0,0
O,-7.248038024,329.8048219,0,1
O,-3.184556238,200.7332279,0,0
O,-10.1522757,387.0231036,0,1
M,8.408328885,-200.2098121,0,0
P,58.18331034,-231.080225,1,0
N,13.21865973,-458.9763801,0,0
M,14.10255472,-362.0543215,0,1
M,10.55752679,-464.7820072,1,0
N,34.29314494,-178.2376863,0,1
M,30.36474451,-363.2556065,0,0
P,47.63031971,-299.0600106,0,1
O,-20.40677944,18.33247322,0,1
N,23.24567004,-214.559723,0,1
N,-3.061259318,13.80269327,0,0
N,2.061161584,-352.787368,0,0
N,15.1355273,-249.6850404,0,1
N,18.89035961,-401.3481009,0,1
N,21.71886346,-325.8719629,0,0
P,37.41916035,55.07795152,1,1
M,18.20622928,-397.6784938,0,0
N,26.62338028,-411.0958728,0,0
O,-2.426611819,34.70319152,0,0
O,-20.66285105,138.2124315,0,1
N,6.379272164,-72.72312622,0,0
P,38.24554732,-200.8698575,1,1
M,-1.425956805,-326.2158516,0,0
N,31.49853062,-335.4224859,0,0
M,13.00643904,-355.1073475,0,1
N,43.48659023,-327.0577726,0,1
O,1.902899768,219.5403458,0,0
N,15.8286891,-513.4705379,0,0
M,32.97003802,-455.9212995,0,1
O,-13.00114145,3.540662688,0,0
N,21.6004203,-222.1097371,0,0
P,4.430437972,24.35805328,1,1
P,8.204660697,-17.79105378,1,1
P,-8.232284996,-186.522092,1,1
O,-23.1473835,287.1023167,0,1
O,-23.42608916,-95.58581004,0,0
M,4.419097196,-250.7190516,0,0
